idx,subject,question,std_answer,model_raw,model_answer,correct
0,计算机,在OSI七层模型中，TCP协议工作在哪一层？,C,C,C,Y
1,计算机,以下哪个不是合法的IPv4地址？,C,C,C,Y
2,计算机,一个字节（Byte）等于多少位（bit）？,B,B,B,Y
3,计算机,"以下哪种数据结构遵循""先进后出""原则？",B,B,B,Y
4,计算机,HTTP协议的默认端口号是？,C,C,C,Y
5,计算机,在SQL中，用于删除表中所有数据但保留表结构的语句是？,C,C,C,Y
6,计算机,以下哪种排序算法的平均时间复杂度为O(n log n)？,C,C,C,Y
7,计算机,Python中用于创建虚拟环境的标准库模块是？,B,B,B,Y
8,计算机,Git中用于查看当前工作区状态的命令是？,B,B,B,Y
9,计算机,以下哪个不是面向对象编程的基本特征？,D,D,D,Y
10,数学,若 f(x) = 2x + 3，则 f(5) 的值是？,B,B,B,Y
11,数学,一个圆的半径为3，其面积约为（π取3.14）？,C,B,B,N
12,数学,方程 x² - 5x + 6 = 0 的两个根是？,B,B,B,Y
13,数学,log以2为底8的对数等于？,B,B,B,Y
14,数学,一个三角形三个内角度数之比为1:2:3，这个三角形是？,B,B,B,Y
15,数学,sin30°的值是？,B,B,B,Y
16,数学,10以内（含10）的质数有几个？,B,B,B,Y
17,数学,若 |a| = 3，则 a 的所有可能值是？,C,C,C,Y
18,数学,"等差数列 2,5,8,... 的第10项是？",A,A,A,Y
19,数学,"组合 C(5,2) 的值是？",B,B,B,Y
20,语文,"""床前明月光""出自哪位诗人？",B,B,B,Y
21,语文,"成语""守株待兔""的寓意是？",B,B,B,Y
22,语文,《红楼梦》的作者是？,D,D,D,Y
23,语文,"""学而时习之，不亦说乎""出自哪部典籍？",B,B,B,Y
24,语文,"下列哪个字是正确的？"" ____ 然不同""",B,B,B,Y
25,语文,"""采菊东篱下，悠然见南山""的作者是？",A,A,A,Y
26,语文,"""四面楚歌""这个成语与哪位历史人物有关？",B,B,B,Y
27,语文,下列哪句是被动句？,B,A,A,N
28,语文,"""但愿人长久，千里共婵娟""中""婵娟""指？",B,B,B,Y
29,语文,《史记》的体例是？,B,B,B,Y
30,历史,中国历史上第一个统一的多民族封建王朝是？,C,C,C,Y
31,历史,鸦片战争爆发于哪一年？,B,B,B,Y
32,历史,贞观之治是哪位皇帝在位时期？,B,B,B,Y
33,历史,新中国成立于哪一年？,B,B,B,Y
34,历史,第二次世界大战结束于哪一年？,C,C,C,Y
35,历史,郑和下西洋始于哪个朝代？,D,D,D,Y
36,历史,五四运动爆发于哪一年？,C,C,C,Y
37,历史,辛亥革命爆发于哪一年？,B,B,B,Y
38,历史,"""文景之治""出现在哪个朝代？",B,B,B,Y
39,历史,日本无条件投降是在哪一年？,B,B,B,Y
40,地理,中国领土最南端的岛屿是？,C,C,C,Y
41,地理,世界上海拔最高的山峰是？,B,B,B,Y
42,地理,中国最长的河流是？,B,B,B,Y
43,地理,以下哪个省级行政区不与内蒙古自治区接壤？,D,B,B,N
44,地理,世界四大洋中面积最大的是？,C,C,C,Y
45,地理,中国四大高原中，地势最高的是？,D,D,D,Y
46,地理,北回归线的纬度大约是？,A,A,A,Y
47,地理,以下哪个城市是直辖市？,C,C,C,Y
48,地理,世界最大的沙漠是？,B,B,B,Y
49,地理,中国最大的内陆湖泊是？,A,A,A,Y
50,法律,我国宪法规定，年满多少周岁具有完全民事行为能力？,B,B,B,Y
51,法律,《中华人民共和国民法典》正式施行于哪一年？,C,C,C,Y
52,法律,以下哪项不是我国刑罚中的主刑？,C,C,C,Y
53,法律,我国现行宪法是哪一年颁布的？,D,D,D,Y
54,法律,劳动法规定，劳动者每日工作时间不超过多少小时？,C,C,C,Y
55,法律,以下哪个不是我国的国家机构？,C,C,C,Y
56,法律,行政处罚中最严厉的一种是？,C,C,C,Y
57,法律,犯罪构成的四个要件不包括以下哪项？,C,C,C,Y
58,法律,我国刑法规定，已满多少周岁的人犯罪应当负刑事责任？,B,B,B,Y
59,法律,下列哪项属于用益物权？,B,B,B,Y
