qid,question,intent,difficulty,boundary_case
Q001,网络工程师岗位现在还招人吗？这个岗位和运维是一个部门吗？,岗位查询,hard,True
Q006,公司现在有网络工程师的招聘名额吗？,岗位查询,easy,False
Q017,想咨询一下，测试工程师岗位的具体工作内容是什么？,岗位查询,easy,False
Q029,麻烦帮我解答一下：网络工程师岗位的工作地点在长沙还是外地？,岗位查询,medium,False
Q028,你好，请问网络工程师岗位的工作地点在长沙还是外地？,岗位查询,medium,False
Q039,麻烦帮我解答一下：高级网络工程师这几年有招聘计划吗？,岗位查询,medium,False
Q041,如果我想投网络工程师，笔试是实操还是笔试卷，两轮面试间隔多久？,岗位查询,hard,False
Q005,网络工程师岗位现在还招人吗？这个岗位和运维是一个部门吗？在线等，挺急的？,岗位查询,hard,True
Q060,薪资8到13K的话到手大概多少，试用期是按80%还是更低？在线等，挺急的？,薪资咨询,hard,True
Q062,想咨询一下，测试工程师中级岗的月薪范围是多少？,薪资咨询,easy,False
Q070,工资每月几号发？在线等，挺急的？,薪资咨询,easy,False
Q089,麻烦帮我解答一下：项目奖金什么时候发，大概是几个月工资？,薪资咨询,medium,False
Q077,想咨询一下，年终奖一般是几个月工资？,薪资咨询,medium,False
Q076,年终奖一般是几个月工资？,薪资咨询,medium,False
Q058,你好，请问薪资8到13K的话到手大概多少，试用期是按80%还是更低？,薪资咨询,hard,True
Q098,你好，请问我目前在别的公司拿12K，跳过来做网络工程师实际能拿多少，加上项目奖金和年终奖一年大概什么水平？,薪资咨询,hard,False
Q112,想咨询一下，运维岗说要懂监控，会Zabbix就够了还是要会Prometheus，这个算加分还是必须？,技能要求,hard,True
Q124,麻烦帮我解答一下：测试岗位要会用哪些接口测试工具？,技能要求,easy,False
Q125,测试岗位要会用哪些接口测试工具？在线等，挺急的？,技能要求,easy,False
Q131,HCIA认证对投网络工程师有帮助吗？,技能要求,medium,False
Q148,你好，请问ISTQB证书考下来公司给报销吗？,技能要求,medium,False
Q153,你好，请问我只会华为设备配置没碰过华三，投网络工程师竞争力怎么样，需要提前补哪些技能？,技能要求,hard,False
Q164,麻烦帮我解答一下：HCIE认证除了报销考试费还有别的奖励吗，对晋升专业线高级有帮助吗？,技能要求,hard,False
Q169,麻烦帮我解答一下：我是学网络的应届生，性格内向不太会说话，你们觉得我适合投哪个岗位，网络工程师会不会因为沟通要求被刷？,岗位推荐,hard,True
Q174,麻烦帮我解答一下：有三年机房值守经验能投运维工程师吗？,岗位推荐,easy,False
Q178,你好，请问应届生能不能投测试工程师吗？,岗位推荐,easy,False
Q204,麻烦帮我解答一下：性格外向喜欢跟客户打交道的适合哪个岗位？,岗位推荐,medium,False
Q194,麻烦帮我解答一下：刚考完HCIP没工作经验能匹配哪个岗位？,岗位推荐,medium,False
Q166,我是学网络的应届生，性格内向不太会说话，你们觉得我适合投哪个岗位，网络工程师会不会因为沟通要求被刷？,岗位推荐,hard,True
Q207,想咨询一下，我在原公司做了四年网络运维带着CCNP，想找薪资上限更高的岗位，推荐我投哪个方向并且说明理由？,岗位推荐,hard,False
