qid,question,intent,difficulty,boundary_case,notes
Q001,网络工程师岗位现在还招人吗？这个岗位和运维是一个部门吗？,岗位查询,hard,True,边界样本：一题多意图/指代不明或表述模糊；种子原句
Q002,想咨询一下，网络工程师岗位现在还招人吗？这个岗位和运维是一个部门吗？,岗位查询,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体2
Q003,你好，请问网络工程师岗位现在还招人吗？这个岗位和运维是一个部门吗？,岗位查询,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体3
Q004,麻烦帮我解答一下：网络工程师岗位现在还招人吗？这个岗位和运维是一个部门吗？,岗位查询,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体4
Q005,网络工程师岗位现在还招人吗？这个岗位和运维是一个部门吗？在线等，挺急的？,岗位查询,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体5
Q006,公司现在有网络工程师的招聘名额吗？,岗位查询,easy,False,直接问事实；种子原句
Q007,想咨询一下，公司现在有网络工程师的招聘名额吗？,岗位查询,easy,False,直接问事实；变体2
Q008,你好，请问公司现在有网络工程师的招聘名额吗？,岗位查询,easy,False,直接问事实；变体3
Q009,麻烦帮我解答一下：公司现在有网络工程师的招聘名额吗？,岗位查询,easy,False,直接问事实；变体4
Q010,公司现在有网络工程师的招聘名额吗？在线等，挺急的？,岗位查询,easy,False,直接问事实；变体5
Q011,运维工程师是哪个部门的岗位？,岗位查询,easy,False,直接问事实；种子原句
Q012,想咨询一下，运维工程师是哪个部门的岗位？,岗位查询,easy,False,直接问事实；变体2
Q013,你好，请问运维工程师是哪个部门的岗位？,岗位查询,easy,False,直接问事实；变体3
Q014,麻烦帮我解答一下：运维工程师是哪个部门的岗位？,岗位查询,easy,False,直接问事实；变体4
Q015,运维工程师是哪个部门的岗位？在线等，挺急的？,岗位查询,easy,False,直接问事实；变体5
Q016,测试工程师岗位的具体工作内容是什么？,岗位查询,easy,False,直接问事实；种子原句
Q017,想咨询一下，测试工程师岗位的具体工作内容是什么？,岗位查询,easy,False,直接问事实；变体2
Q018,你好，请问测试工程师岗位的具体工作内容是什么？,岗位查询,easy,False,直接问事实；变体3
Q019,麻烦帮我解答一下：测试工程师岗位的具体工作内容是什么？,岗位查询,easy,False,直接问事实；变体4
Q020,测试工程师岗位的具体工作内容是什么？在线等，挺急的？,岗位查询,easy,False,直接问事实；变体5
Q021,目前交付中心在招的技术岗有哪些？,岗位查询,medium,False,带限定条件；种子原句
Q022,想咨询一下，目前交付中心在招的技术岗有哪些？,岗位查询,medium,False,带限定条件；变体2
Q023,你好，请问目前交付中心在招的技术岗有哪些？,岗位查询,medium,False,带限定条件；变体3
Q024,麻烦帮我解答一下：目前交付中心在招的技术岗有哪些？,岗位查询,medium,False,带限定条件；变体4
Q025,目前交付中心在招的技术岗有哪些？在线等，挺急的？,岗位查询,medium,False,带限定条件；变体5
Q026,网络工程师岗位的工作地点在长沙还是外地？,岗位查询,medium,False,带限定条件；种子原句
Q027,想咨询一下，网络工程师岗位的工作地点在长沙还是外地？,岗位查询,medium,False,带限定条件；变体2
Q028,你好，请问网络工程师岗位的工作地点在长沙还是外地？,岗位查询,medium,False,带限定条件；变体3
Q029,麻烦帮我解答一下：网络工程师岗位的工作地点在长沙还是外地？,岗位查询,medium,False,带限定条件；变体4
Q030,网络工程师岗位的工作地点在长沙还是外地？在线等，挺急的？,岗位查询,medium,False,带限定条件；变体5
Q031,运维工程师这个岗位需要经常出差吗？,岗位查询,medium,False,带限定条件；种子原句
Q032,想咨询一下，运维工程师这个岗位要不要经常出差吗？,岗位查询,medium,False,带限定条件；变体2
Q033,你好，请问运维工程师这个岗位需要经常出差吗？,岗位查询,medium,False,带限定条件；变体3
Q034,麻烦帮我解答一下：运维工程师这个岗位需要经常出差吗？,岗位查询,medium,False,带限定条件；变体4
Q035,运维工程师这个岗位需要经常出差吗？在线等，挺急的？,岗位查询,medium,False,带限定条件；变体5
Q036,高级网络工程师这几年有招聘计划吗？,岗位查询,medium,False,带限定条件；种子原句
Q037,想咨询一下，高级网络工程师这几年有招聘计划吗？,岗位查询,medium,False,带限定条件；变体2
Q038,你好，请问高级网络工程师这几年有招聘计划吗？,岗位查询,medium,False,带限定条件；变体3
Q039,麻烦帮我解答一下：高级网络工程师这几年有招聘计划吗？,岗位查询,medium,False,带限定条件；变体4
Q040,高级网络工程师这几年有招聘计划吗？在线等，挺急的？,岗位查询,medium,False,带限定条件；变体5
Q041,如果我想投网络工程师，笔试是实操还是笔试卷，两轮面试间隔多久？,岗位查询,hard,False,多条件组合，需综合推理；种子原句
Q042,想咨询一下，如果我想投网络工程师，笔试是实操还是笔试卷，两轮面试间隔多久？,岗位查询,hard,False,多条件组合，需综合推理；变体2
Q043,你好，请问如果我想投网络工程师，笔试是实操还是笔试卷，两轮面试间隔多久？,岗位查询,hard,False,多条件组合，需综合推理；变体3
Q044,麻烦帮我解答一下：如果我想投网络工程师，笔试是实操还是笔试卷，两轮面试间隔多久？,岗位查询,hard,False,多条件组合，需综合推理；变体4
Q045,如果我想投网络工程师，笔试是实操还是笔试卷，两轮面试间隔多久？在线等，挺急的？,岗位查询,hard,False,多条件组合，需综合推理；变体5
Q046,公司招聘流程里技术面和HR面分别考察什么，笔试没过还能再投吗？,岗位查询,hard,False,多条件组合，需综合推理；种子原句
Q047,想咨询一下，公司招聘流程里技术面和HR面分别考察什么，笔试没过还能再投吗？,岗位查询,hard,False,多条件组合，需综合推理；变体2
Q048,你好，请问公司招聘流程里技术面和HR面分别考察什么，笔试没过还能再投吗？,岗位查询,hard,False,多条件组合，需综合推理；变体3
Q049,麻烦帮我解答一下：公司招聘流程里技术面和HR面分别考察什么，笔试没过还能再投吗？,岗位查询,hard,False,多条件组合，需综合推理；变体4
Q050,公司招聘流程里技术面和HR面分别考察什么，笔试没过还能再投吗？在线等，挺急的？,岗位查询,hard,False,多条件组合，需综合推理；变体5
Q051,我三年前被拒过一次网络工程师岗位，现在重新投递的话流程上有什么不一样？,岗位查询,hard,False,多条件组合，需综合推理；种子原句
Q052,想咨询一下，我三年前被拒过一次网络工程师岗位，现在重新投递的话流程上有什么不一样？,岗位查询,hard,False,多条件组合，需综合推理；变体2
Q053,你好，请问我三年前被拒过一次网络工程师岗位，现在重新投递的话流程上有什么不一样？,岗位查询,hard,False,多条件组合，需综合推理；变体3
Q054,麻烦帮我解答一下：我三年前被拒过一次网络工程师岗位，现在重新投递的话流程上有什么不一样？,岗位查询,hard,False,多条件组合，需综合推理；变体4
Q055,我三年前被拒过一次网络工程师岗位，现在重新投递的话流程上有没有不一样？在线等，挺急的？,岗位查询,hard,False,多条件组合，需综合推理；变体5
Q056,薪资8到13K的话到手大概多少，试用期是按80%还是更低？,薪资咨询,hard,True,边界样本：一题多意图/指代不明或表述模糊；种子原句
Q057,想咨询一下，薪资8到13K的话到手大概多少，试用期是按80%还是更低？,薪资咨询,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体2
Q058,你好，请问薪资8到13K的话到手大概多少，试用期是按80%还是更低？,薪资咨询,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体3
Q059,麻烦帮我解答一下：薪资8到13K的话到手大概多少，试用期是按80%还是更低？,薪资咨询,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体4
Q060,薪资8到13K的话到手大概多少，试用期是按80%还是更低？在线等，挺急的？,薪资咨询,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体5
Q061,测试工程师中级岗的月薪范围是多少？,薪资咨询,easy,False,直接问事实；种子原句
Q062,想咨询一下，测试工程师中级岗的月薪范围是多少？,薪资咨询,easy,False,直接问事实；变体2
Q063,你好，请问测试工程师中级岗的月薪范围是多少？,薪资咨询,easy,False,直接问事实；变体3
Q064,麻烦帮我解答一下：测试工程师中级岗的月薪范围多少呀？,薪资咨询,easy,False,直接问事实；变体4
Q065,测试工程师中级岗的月薪范围是多少？在线等，挺急的？,薪资咨询,easy,False,直接问事实；变体5
Q066,工资每月几号发？,薪资咨询,easy,False,直接问事实；种子原句
Q067,想咨询一下，工资每月几号发？,薪资咨询,easy,False,直接问事实；变体2
Q068,你好，请问工资每月几号发？,薪资咨询,easy,False,直接问事实；变体3
Q069,麻烦帮我解答一下：工资每月几号发？,薪资咨询,easy,False,直接问事实；变体4
Q070,工资每月几号发？在线等，挺急的？,薪资咨询,easy,False,直接问事实；变体5
Q071,绩效工资占月薪的比例是多少？,薪资咨询,easy,False,直接问事实；种子原句
Q072,想咨询一下，绩效工资占月薪的比例是多少？,薪资咨询,easy,False,直接问事实；变体2
Q073,你好，请问绩效工资占月薪的比例是多少？,薪资咨询,easy,False,直接问事实；变体3
Q074,麻烦帮我解答一下：绩效工资占月薪的比例多少呀？,薪资咨询,easy,False,直接问事实；变体4
Q075,绩效工资占月薪的比例是多少？在线等，挺急的？,薪资咨询,easy,False,直接问事实；变体5
Q076,年终奖一般是几个月工资？,薪资咨询,medium,False,带限定条件；种子原句
Q077,想咨询一下，年终奖一般是几个月工资？,薪资咨询,medium,False,带限定条件；变体2
Q078,你好，请问年终奖一般是几个月工资？,薪资咨询,medium,False,带限定条件；变体3
Q079,麻烦帮我解答一下：年终奖一般是几个月工资？,薪资咨询,medium,False,带限定条件；变体4
Q080,年终奖一般是几个月工资？在线等，挺急的？,薪资咨询,medium,False,带限定条件；变体5
Q081,如果季度绩效评了C档，绩效工资会打几折？,薪资咨询,medium,False,带限定条件；种子原句
Q082,想咨询一下，如果季度绩效评了C档，绩效工资会打几折？,薪资咨询,medium,False,带限定条件；变体2
Q083,你好，请问如果季度绩效评了C档，绩效工资会打几折？,薪资咨询,medium,False,带限定条件；变体3
Q084,麻烦帮我解答一下：如果季度绩效评了C档，绩效工资会打几折？,薪资咨询,medium,False,带限定条件；变体4
Q085,如果季度绩效评了C档，绩效工资会打几折？在线等，挺急的？,薪资咨询,medium,False,带限定条件；变体5
Q086,项目奖金什么时候发，大概是几个月工资？,薪资咨询,medium,False,带限定条件；种子原句
Q087,想咨询一下，项目奖金什么时候发，大概是几个月工资？,薪资咨询,medium,False,带限定条件；变体2
Q088,你好，请问项目奖金什么时候发，大概是几个月工资？,薪资咨询,medium,False,带限定条件；变体3
Q089,麻烦帮我解答一下：项目奖金什么时候发，大概是几个月工资？,薪资咨询,medium,False,带限定条件；变体4
Q090,项目奖金什么时候发，大概是几个月工资？在线等，挺急的？,薪资咨询,medium,False,带限定条件；变体5
Q091,试用期六个月的话工资怎么算？,薪资咨询,medium,False,带限定条件；种子原句
Q092,想咨询一下，试用期六个月的话工资怎么算？,薪资咨询,medium,False,带限定条件；变体2
Q093,你好，请问试用期六个月的话工资怎么算？,薪资咨询,medium,False,带限定条件；变体3
Q094,麻烦帮我解答一下：试用期六个月的话工资怎么算？,薪资咨询,medium,False,带限定条件；变体4
Q095,试用期六个月的话工资怎么算？在线等，挺急的？,薪资咨询,medium,False,带限定条件；变体5
Q096,我目前在别的公司拿12K，跳过来做网络工程师实际能拿多少，加上项目奖金和年终奖一年大概什么水平？,薪资咨询,hard,False,多条件组合，需综合推理；种子原句
Q097,想咨询一下，我目前在别的公司拿12K，跳过来做网络工程师实际能拿多少，加上项目奖金和年终奖一年大概什么水平？,薪资咨询,hard,False,多条件组合，需综合推理；变体2
Q098,你好，请问我目前在别的公司拿12K，跳过来做网络工程师实际能拿多少，加上项目奖金和年终奖一年大概什么水平？,薪资咨询,hard,False,多条件组合，需综合推理；变体3
Q099,麻烦帮我解答一下：我目前在别的公司拿12K，跳过来做网络工程师实际能拿多少，加上项目奖金和年终奖一年大概什么水平？,薪资咨询,hard,False,多条件组合，需综合推理；变体4
Q100,我目前在别的公司拿12K，跳过来做网络工程师实际能拿多少，加上项目奖金和年终奖一年大概什么水平？在线等，挺急的？,薪资咨询,hard,False,多条件组合，需综合推理；变体5
Q101,A档和B档员工年终奖差多少，调薪的时候A档平均能调几个点？,薪资咨询,hard,False,多条件组合，需综合推理；种子原句
Q102,想咨询一下，A档和B档员工年终奖差多少，调薪的时候A档平均能调几个点？,薪资咨询,hard,False,多条件组合，需综合推理；变体2
Q103,你好，请问A档和B档员工年终奖差多少，调薪的时候A档平均能调几个点？,薪资咨询,hard,False,多条件组合，需综合推理；变体3
Q104,麻烦帮我解答一下：A档和B档员工年终奖差多少，调薪的时候A档平均能调几个点？,薪资咨询,hard,False,多条件组合，需综合推理；变体4
Q105,A档和B档员工年终奖差多少，调薪的时候A档平均能调几个点？在线等，挺急的？,薪资咨询,hard,False,多条件组合，需综合推理；变体5
Q106,值班补贴和加班费能不能同时拿，周末加班到底是调休还是给钱？,薪资咨询,hard,False,多条件组合，需综合推理；种子原句
Q107,想咨询一下，值班补贴和加班费能不能同时拿，周末加班到底是调休还是给钱？,薪资咨询,hard,False,多条件组合，需综合推理；变体2
Q108,你好，请问值班补贴和加班费能不能同时拿，周末加班到底是调休还是给钱？,薪资咨询,hard,False,多条件组合，需综合推理；变体3
Q109,麻烦帮我解答一下：值班补贴和加班费能不能同时拿，周末加班到底是调休还是给钱？,薪资咨询,hard,False,多条件组合，需综合推理；变体4
Q110,值班补贴和加班费能不能同时拿，周末加班到底是调休还是给钱？在线等，挺急的？,薪资咨询,hard,False,多条件组合，需综合推理；变体5
Q111,运维岗说要懂监控，会Zabbix就够了还是要会Prometheus，这个算加分还是必须？,技能要求,hard,True,边界样本：一题多意图/指代不明或表述模糊；种子原句
Q112,想咨询一下，运维岗说要懂监控，会Zabbix就够了还是要会Prometheus，这个算加分还是必须？,技能要求,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体2
Q113,你好，请问运维岗说要懂监控，会Zabbix就够了还是要会Prometheus，这个算加分还是必须？,技能要求,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体3
Q114,麻烦帮我解答一下：运维岗说要懂监控，会Zabbix就够了还是要会Prometheus，这个算加分还是必须？,技能要求,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体4
Q115,运维岗说要懂监控，会Zabbix就够了还是要会Prometheus，这个算加分还是必须？在线等，挺急的？,技能要求,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体5
Q116,网络工程师需要什么认证？,技能要求,easy,False,直接问事实；种子原句
Q117,想咨询一下，网络工程师要不要什么认证？,技能要求,easy,False,直接问事实；变体2
Q118,你好，请问网络工程师需要什么认证？,技能要求,easy,False,直接问事实；变体3
Q119,麻烦帮我解答一下：网络工程师需要什么认证？,技能要求,easy,False,直接问事实；变体4
Q120,网络工程师需要什么认证？在线等，挺急的？,技能要求,easy,False,直接问事实；变体5
Q121,测试岗位要会用哪些接口测试工具？,技能要求,easy,False,直接问事实；种子原句
Q122,想咨询一下，测试岗位要会用哪些接口测试工具？,技能要求,easy,False,直接问事实；变体2
Q123,你好，请问测试岗位要会用哪些接口测试工具？,技能要求,easy,False,直接问事实；变体3
Q124,麻烦帮我解答一下：测试岗位要会用哪些接口测试工具？,技能要求,easy,False,直接问事实；变体4
Q125,测试岗位要会用哪些接口测试工具？在线等，挺急的？,技能要求,easy,False,直接问事实；变体5
Q126,运维工程师需要掌握哪些Linux技能？,技能要求,easy,False,直接问事实；种子原句
Q127,想咨询一下，运维工程师要不要掌握哪些Linux技能？,技能要求,easy,False,直接问事实；变体2
Q128,你好，请问运维工程师需要掌握哪些Linux技能？,技能要求,easy,False,直接问事实；变体3
Q129,麻烦帮我解答一下：运维工程师需要掌握哪些Linux技能？,技能要求,easy,False,直接问事实；变体4
Q130,运维工程师需要掌握哪些Linux技能？在线等，挺急的？,技能要求,easy,False,直接问事实；变体5
