query_id,query,query_type,expected_doc_id,rank_1,rank_2,rank_3,rank_4,rank_5,hit_rank,top1_distance
A001,星野科技成立时间是哪一年？,A,doc_01,doc_01,doc_02,doc_01,doc_20,doc_10,1,0.6719
A002,星野科技总部在哪个城市？,A,doc_01,doc_01,doc_17,doc_10,doc_06,doc_07,1,0.6401
A003,星野科技有多少员工？,A,doc_01,doc_01,doc_02,doc_11,doc_07,doc_01,1,0.623
A004,星野科技2024年营业收入是多少？,A,doc_01,doc_01,doc_01,doc_06,doc_10,doc_11,1,0.6652
A005,星野科技的标准招聘流程有几个环节？,A,doc_02,doc_02,doc_01,doc_19,doc_06,doc_07,1,0.6551
A006,简历筛选结果多久反馈？,A,doc_02,doc_02,doc_07,doc_10,doc_17,doc_01,1,0.7709
A007,offer审批需要多久？,A,doc_02,doc_02,doc_12,doc_03,doc_18,doc_14,1,0.7424
A008,招聘联系方式邮箱是什么？,A,doc_02,doc_02,doc_07,doc_14,doc_06,doc_14,1,0.7314
A009,网络工程师隶属于哪个部门？,A,doc_03,doc_03,doc_04,doc_02,doc_07,doc_13,1,0.6219
A010,网络工程师的薪资范围是多少？,A,doc_03,doc_02,doc_03,doc_01,doc_05,doc_02,2,0.7351
A011,网络工程师持什么认证优先？,A,doc_03,doc_03,doc_01,doc_02,doc_05,doc_03,1,0.7446
A012,网络工程师要熟悉哪些路由协议？,A,doc_03,doc_03,doc_03,doc_13,doc_02,doc_17,1,0.6854
A013,运维工程师分为哪两个方向？,A,doc_04,doc_04,doc_10,doc_02,doc_16,doc_02,1,0.5962
A014,基础运维故障响应时限是多少？,A,doc_04,doc_04,doc_20,doc_02,doc_04,doc_03,1,0.6169
A015,运维工程师月薪范围是多少？,A,doc_04,doc_12,doc_04,doc_13,doc_02,doc_01,2,0.7435
A016,运维值班有补贴吗？,A,doc_04,doc_12,doc_04,doc_20,doc_04,doc_15,2,0.6678
A017,测试工程师隶属于哪个部门？,A,doc_05,doc_05,doc_03,doc_05,doc_02,doc_07,1,0.6583
A018,测试工程师中级薪资范围是多少？,A,doc_05,doc_05,doc_05,doc_13,doc_02,doc_05,1,0.6276
A019,测试岗要掌握哪些接口测试工具？,A,doc_05,doc_05,doc_05,doc_18,doc_05,doc_13,1,0.6019
A020,考取ISTQB认证有什么奖励？,A,doc_05,doc_05,doc_18,doc_01,doc_09,doc_06,1,0.6463
A021,公司全年发几个月薪？,A,doc_06,doc_06,doc_06,doc_01,doc_16,doc_11,1,0.6711
A022,绩效工资占月薪比例是多少？,A,doc_06,doc_06,doc_02,doc_02,doc_06,doc_07,1,0.5511
A023,绩效A档员工的年终奖是几个月？,A,doc_06,doc_06,doc_06,doc_16,doc_19,doc_19,1,0.5153
A024,试用期工资按转正工资的多少发放？,A,doc_06,doc_09,doc_09,doc_11,doc_06,doc_06,4,0.6094
A025,工资发放日是每月几号？,A,doc_07,doc_07,doc_11,doc_06,doc_17,doc_15,1,0.6934
A026,调薪窗口一年有几次？,A,doc_07,doc_06,doc_07,doc_07,doc_01,doc_18,2,0.7209
A027,员工可以互相打听薪资吗？,A,doc_07,doc_07,doc_07,doc_14,doc_02,doc_14,1,0.6608
A028,社招员工入职多久可以参加调薪评估？,A,doc_07,doc_07,doc_06,doc_15,doc_16,doc_19,1,0.5182
A029,公积金单位和个人各缴多少比例？,A,doc_08,doc_08,doc_14,doc_06,doc_01,doc_08,1,0.6539
A030,养老保险单位缴费比例是多少？,A,doc_08,doc_08,doc_02,doc_16,doc_13,doc_06,1,0.5654
A031,五险一金从什么时候开始缴纳？,A,doc_08,doc_08,doc_09,doc_20,doc_04,doc_08,1,0.7065
A032,补充医疗保险能报销自付部分的比例是多少？,A,doc_08,doc_08,doc_08,doc_17,doc_16,doc_02,1,0.5714
A033,试用期工资是多少？,A,doc_09,doc_09,doc_09,doc_02,doc_07,doc_11,1,0.6919
A034,试用期员工离职要提前几天？,A,doc_09,doc_14,doc_09,doc_07,doc_14,doc_06,2,0.4472
A035,转正评审的结论有哪几种？,A,doc_09,doc_09,doc_02,doc_10,doc_17,doc_14,1,0.7296
A036,试用期最长不超过多久？,A,doc_09,doc_09,doc_09,doc_11,doc_16,doc_07,1,0.64
A037,转正考核总分是多少？,A,doc_10,doc_10,doc_10,doc_10,doc_09,doc_09,1,0.7129
A038,转正考核中业务目标达成占多少分？,A,doc_10,doc_10,doc_09,doc_10,doc_03,doc_19,1,0.5317
A039,综合得分多少分算优秀转正？,A,doc_10,doc_10,doc_10,doc_10,doc_02,doc_15,1,0.6647
A040,优秀转正有什么奖励？,A,doc_10,doc_10,doc_09,doc_09,doc_15,doc_01,1,0.692
A041,年假有多少天？,A,doc_11,doc_13,doc_11,doc_15,doc_17,doc_18,2,0.7806
A042,事假单次最多可以请几天？,A,doc_11,doc_11,doc_03,doc_17,doc_16,doc_17,1,0.6979
A043,婚假一共多少天？,A,doc_11,doc_17,doc_11,doc_04,doc_15,doc_11,2,0.7487
A044,旷工一天扣多少工资？,A,doc_11,doc_11,doc_12,doc_06,doc_13,doc_14,1,0.6848
A045,工作日加班怎么补偿？,A,doc_12,doc_12,doc_12,doc_16,doc_14,doc_02,1,0.6392
A046,周末加班不能调休怎么算？,A,doc_12,doc_12,doc_12,doc_12,doc_11,doc_15,1,0.5988
A047,法定节假日加班按几倍工资支付？,A,doc_12,doc_12,doc_12,doc_12,doc_07,doc_11,1,0.4163
A048,值班补贴标准是多少？,A,doc_12,doc_12,doc_04,doc_15,doc_11,doc_20,1,0.6653
A049,入职报到时间是几点？,A,doc_13,doc_13,doc_07,doc_04,doc_20,doc_16,1,0.7028
A050,入职培训时长是多久？,A,doc_13,doc_18,doc_03,doc_13,doc_13,doc_13,3,0.7318
A051,技术岗配备什么笔记本？,A,doc_13,doc_13,doc_01,doc_01,doc_20,doc_02,1,0.7
A052,新星计划有几次跟进面谈？,A,doc_13,doc_13,doc_18,doc_07,doc_03,doc_08,1,0.6323
A053,正式员工离职要提前多少天？,A,doc_14,doc_14,doc_18,doc_09,doc_14,doc_07,1,0.4859
A054,离职交接包括哪几个方面？,A,doc_14,doc_14,doc_12,doc_03,doc_04,doc_14,1,0.7061
A055,竞业限制期最长多久？,A,doc_14,doc_14,doc_11,doc_08,doc_09,doc_18,1,0.7149
A056,离职证明由谁出具？,A,doc_14,doc_14,doc_13,doc_01,doc_07,doc_18,1,0.6943
A057,员工体检标准是每人多少钱？,A,doc_15,doc_15,doc_07,doc_02,doc_14,doc_02,1,0.7183
A058,学习基金每年额度是多少？,A,doc_15,doc_01,doc_15,doc_15,doc_07,doc_12,2,0.7569
A059,租房补贴标准是多少？,A,doc_15,doc_15,doc_02,doc_15,doc_11,doc_15,1,0.7856
A060,入职满3年有什么奖励？,A,doc_15,doc_15,doc_13,doc_01,doc_09,doc_11,1,0.6634
A061,申请远程办公需要入职满多久？,A,doc_16,doc_16,doc_16,doc_08,doc_18,doc_07,1,0.5833
A062,常规远程每周可以几天？,A,doc_16,doc_16,doc_16,doc_11,doc_04,doc_11,1,0.5822
A063,远程当日响应消息的时限是多少？,A,doc_16,doc_16,doc_12,doc_04,doc_04,doc_02,1,0.7034
A064,哪些项目不能远程办公？,A,doc_16,doc_16,doc_16,doc_02,doc_03,doc_08,1,0.6553
A065,一线城市住宿报销标准是多少？,A,doc_17,doc_17,doc_17,doc_02,doc_18,doc_14,1,0.5864
A066,出差餐补每天多少钱？,A,doc_17,doc_17,doc_17,doc_12,doc_04,doc_01,1,0.7727
A067,差旅发票要在返程后几天内提交？,A,doc_17,doc_17,doc_17,doc_07,doc_11,doc_09,1,0.6612
A068,飞机票需要提前几天预订？,A,doc_17,doc_17,doc_09,doc_12,doc_18,doc_04,1,0.6402
A069,三级人才培养体系分别是什么？,A,doc_18,doc_18,doc_13,doc_07,doc_03,doc_16,1,0.7655
A070,晋升评审每年开放几次？,A,doc_18,doc_18,doc_05,doc_01,doc_06,doc_20,1,0.6922
A071,晋升申报的绩效条件是什么？,A,doc_18,doc_18,doc_16,doc_02,doc_01,doc_19,1,0.6949
A072,HCIE认证奖励多少钱？,A,doc_18,doc_18,doc_05,doc_01,doc_03,doc_06,1,0.6967
A073,绩效考核多久评一次？,A,doc_19,doc_06,doc_19,doc_09,doc_18,doc_10,2,0.7027
A074,行为评价占绩效考核多大比重？,A,doc_19,doc_19,doc_03,doc_09,doc_10,doc_06,1,0.6186
A075,季度A档比例上限是多少？,A,doc_19,doc_19,doc_03,doc_02,doc_06,doc_19,1,0.7558
A076,绩效改进计划的时间是多久？,A,doc_19,doc_19,doc_07,doc_06,doc_03,doc_03,1,0.6551
A077,办公笔记本使用几年可以申请更换？,A,doc_20,doc_20,doc_20,doc_16,doc_16,doc_10,1,0.599
A078,生产环境权限需要谁审批？,A,doc_20,doc_20,doc_11,doc_16,doc_02,doc_17,1,0.6182
A079,密码多少天要更换一次？,A,doc_20,doc_18,doc_20,doc_18,doc_18,doc_06,2,0.6995
A080,IT工单的响应时效是多久？,A,doc_20,doc_20,doc_12,doc_16,doc_07,doc_02,1,0.6919
B001,问一下哈，星野科技成立时间哪年？,B,doc_01,doc_01,doc_01,doc_02,doc_20,doc_18,1,0.7176
B002,请问星野科技总部在哪个城市？,B,doc_01,doc_01,doc_17,doc_06,doc_10,doc_02,1,0.6542
B003,帮我看看，星野科技有多少员工？,B,doc_01,doc_01,doc_02,doc_01,doc_13,doc_11,1,0.6944
B004,麻烦说下星野科技2024年营业收入多少呀？,B,doc_01,doc_01,doc_06,doc_01,doc_18,doc_12,1,0.6597
B005,星野科技的标准招聘流程有几个环节？想确认一下？,B,doc_02,doc_02,doc_06,doc_19,doc_07,doc_06,1,0.6519
B006,有人知道简历筛选结果多久反馈吗？,B,doc_02,doc_02,doc_10,doc_20,doc_16,doc_13,1,0.7019
B007,咨询个事，offer审批要不要多久？,B,doc_02,doc_02,doc_12,doc_03,doc_07,doc_11,1,0.7777
B008,想问下招聘联系方式邮箱是什么，谢谢？,B,doc_02,doc_02,doc_07,doc_06,doc_14,doc_13,1,0.7425
B009,你好，网络工程师属于哪个部门？,B,doc_03,doc_03,doc_02,doc_04,doc_07,doc_02,1,0.6909
B010,想了解下，网络工程师的薪资范围多少呀？,B,doc_03,doc_02,doc_05,doc_01,doc_03,doc_02,4,0.7145
B011,问一下哈，网络工程师持什么认证优先？,B,doc_03,doc_03,doc_02,doc_01,doc_03,doc_16,1,0.7466
B012,请问网络工程师要熟悉哪些路由协议？,B,doc_03,doc_03,doc_13,doc_03,doc_02,doc_17,1,0.7064
B013,帮我看看，运维工程师分为哪两个方向？,B,doc_04,doc_04,doc_10,doc_16,doc_02,doc_02,1,0.6139
B014,麻烦说下基础运维故障响应时限多少呀？,B,doc_04,doc_04,doc_20,doc_04,doc_02,doc_12,1,0.6303
B015,运维工程师月薪范围多少呀？想确认一下？,B,doc_04,doc_05,doc_02,doc_06,doc_03,doc_13,0,0.7509
B016,有人知道运维值班有补贴吗吗？,B,doc_04,doc_12,doc_04,doc_14,doc_20,doc_15,2,0.6936
B017,咨询个事，测试工程师属于哪个部门？,B,doc_05,doc_05,doc_05,doc_12,doc_03,doc_07,1,0.711
B018,想问下测试工程师中级薪资范围多少呀，谢谢？,B,doc_05,doc_05,doc_05,doc_02,doc_03,doc_05,1,0.6377
B019,你好，测试岗要掌握哪些接口测试工具？,B,doc_05,doc_05,doc_05,doc_18,doc_05,doc_13,1,0.612
B020,想了解下，考取ISTQB认证有什么奖励？,B,doc_05,doc_18,doc_05,doc_01,doc_09,doc_03,2,0.6829
B021,问一下哈，公司全年发几个月薪？,B,doc_06,doc_06,doc_06,doc_16,doc_01,doc_04,1,0.6395
B022,请问绩效工资占月薪比例多少呀？,B,doc_06,doc_06,doc_02,doc_14,doc_06,doc_19,1,0.5482
B023,帮我看看，绩效A档员工的年终奖是几个月？,B,doc_06,doc_06,doc_06,doc_16,doc_11,doc_08,1,0.5481
B024,麻烦说下试用期工资按转正工资的多少发放？,B,doc_06,doc_09,doc_09,doc_11,doc_06,doc_09,4,0.6371
B025,工资发放日是每月几号？想确认一下？,B,doc_07,doc_06,doc_14,doc_11,doc_07,doc_17,4,0.6922
B026,有人知道调薪窗口一年有几次吗？,B,doc_07,doc_06,doc_20,doc_07,doc_09,doc_01,3,0.6875
B027,咨询个事，员工能不能互相打听薪资吗？,B,doc_07,doc_07,doc_19,doc_02,doc_07,doc_14,1,0.6381
B028,想问下社招员工入职多久能不能参加调薪评估，谢谢？,B,doc_07,doc_07,doc_16,doc_06,doc_19,doc_02,1,0.5563
B029,你好，公积金单位和个人各缴多少比例？,B,doc_08,doc_08,doc_08,doc_14,doc_06,doc_01,1,0.6597
B030,想了解下，养老保险单位缴费比例多少呀？,B,doc_08,doc_08,doc_04,doc_02,doc_18,doc_16,1,0.5862
B031,问一下哈，五险一金从什么时候开始缴纳？,B,doc_08,doc_08,doc_09,doc_04,doc_06,doc_08,1,0.6809
B032,请问补充医疗保险能报销自付部分的比例多少呀？,B,doc_08,doc_08,doc_08,doc_17,doc_16,doc_14,1,0.5769
B033,帮我看看，试用期工资多少呀？,B,doc_09,doc_09,doc_09,doc_09,doc_02,doc_11,1,0.7194
B034,麻烦说下试用期员工离职得提前几天？,B,doc_09,doc_14,doc_09,doc_07,doc_06,doc_09,2,0.4905
B035,转正评审的结论有哪几种？想确认一下？,B,doc_09,doc_14,doc_02,doc_09,doc_19,doc_17,3,0.7021
B036,有人知道试用期最长不超过多久吗？,B,doc_09,doc_09,doc_09,doc_16,doc_18,doc_11,1,0.6563
