raw_id,raw_question,issue_type
D001,  公司现在有网络工程师的招聘名额吗  ,首尾多余空格
D002,工资每月几号发？？？？,重复标点
D003,测式工程师中级岗的月薪范围是多少,错别字（测式→测试）
D004,HCIA 认证  对投 网络工程师 有帮助吗,词间多余空格
D005,"公积金单位和个人各缴多少比例？

",含换行符
D006,"年假有５天还是１０天？",全角数字
D007,运维工程师要不要值班？值班补贴多少？,中英标点混用（末尾问号半角）
D008,"试用期工资是转正的80％吗",全角百分号
D009,HCIE认证奖励多少钱？？？,重复标点
D010,"  五险一金从什么时候开始缴纳？

",首尾空格+换行符
D011,错锦词测试：工作日加班杂么补偿,错别字（杂么→怎么）
D012,长沙银行 工商银行  工资卡用什么银行？,词间多余空格
D013,公司全年发１３薪吗,全角数字
D014,offer 审批需要多久？？？,重复标点
D015,"   远程办公需要入职满多久？",仅首部多余空格
D016,出差餐补每天１００元吗,全角数字
D017,竞业限制期最长多久？而且补偿怎么算？,中英标点混用
D018,体质检标准是每人多少钱,错别字（体→每）
D019,"请假流程是什么？

需要提前多久提价？",含换行符+错别字（提价→提交）
D020,IT工单的响应时效是多少？   ，谢谢,标点混用+尾随空格
